Program Date 	Film Title 	Director 	Year
  	City of Stars 	Humberstone, H. Bruce 	1925
  	On Your Toes 	Newmeyer, Fred 	1927
  	Echo of Applause 	Anderson, James M. (prod.) 	1946
5/22/59 	Knight Without Armor 	Feyder, Jacques 	1937
  	Me and My Pal 	Rogers, Charles 	1933
  	Skip the Maloo 	Parrott, James 	1931
5/26/59 	Bedlam 	Robson, Mark 	1946
  	The Ghost Ship 	Robson, Mark 	1943
6/16/59 	The Great Man Votes 	Kanin, Garson 	1939
  	Svengali 	Mayo, Archie 	1931
6/23/59 	Captain Kidd's Kittens 	Carruth, Clyde 	1927
  	The Circus 	Chaplin, Charlie 	1927
  	The Cloud Hopper 	Semon, Larry 	1925
  	Do Detectives Think? 	Guiol, Fred 	1927
  	From Hand to Mouth 	Goulding, Alfred 	1920
  	The Life of Reilly 	La Cava, Gregory 	1923
  	Limousine Love 	Guiol, Fred 	1928
  	Trolley Troubles 	  	1921
  	You're Darn Tootin' 	Kennedy, Edgar 	1928
6/30/59 	Conceit 	George, Burton 	1921
  	The Drop Kick 	Webb, Millard 	1927
7/21/59 	The General Line 	Eisenstein, S.M. 	1926
  	The Idol Dancer 	Griffith, D.W. 	1920
7/28/59 	Air Mail 	Ford, John 	1932
  	Drums Along the Mohawk 	Ford, John 	1939
  	The Prisoner of Shark Island 	Ford, John 	1936
  	They Were Expendable 	Ford, John 	1945
  	The Wagonmaster 	Ford, John 	1950
8/18/59 	Alexander Hamilton 	Adolfi, John G. 	1931
  	Off His Trolley 	Lord, Del 	1924
  	There Goes the Bride 	Horne, James W. 	1925
  	This Mechanical Age 	Youngson, Robert 	1954
  	Thrills from the Past 	Youngson, Robert 	1954
8/21/59 	The Flame Fighter 	Dillon, Robert 	1925
  	The Hazards of Helen 	McGowan, J.P. 	1915
  	King of the Kongo 	Thorpe, Richard 	1929
  	Pearl of the Army 	José, Edward 	1916
  	The Perils of Pauline 	Gasnier, Louis 	1914
  	Plunder 	Seitz, George B. 	1923
  	The Serial Queens 	Killiam, Paul (prod.) 	1956
  	Terror 	José, Edward 	1924
  	Zudora 	Sullivan, Frederic and Howard Hansell 	1914
8/25/59 	The Cat and the Canary 	Leni, Paul 	1927
  	White Zombie 	Halperin, Victor 	1932
8/28/59 	The Amazing Mr. X 	Vorhaus, Bernard 	1948
  	Cat People 	Tourneur, Jacques 	1942
  	Dead of Night 	Cavalcanti, Alberto, Charles Chrichton, Basil Dearden, and Robert Hamer 	1945
  	I Walked with a Zombie 	Tourneur, Jacques 	1943
  	The Picture of Dorian Gray 	Lewin, Albert 	1945
  	The Red House 	Daves, Delmer 	1947
  	The Spiral Staircase 	Sidomak, Robert 	1946
  	The Woman Who Came Back 	Colmes, Walter 	1945
9/15/59 	The Body Snatcher 	Wise, Robert 	1945
  	Dr. Jekyll and Mr. Hyde 	Robertson, John S. 	1920
  	Frankenstein Meets the Wolf Man 	Neill, Roy William 	1943
  	The Invisible Man 	Whale, James 	1933
  	Metropolis 	Lang, Fritz 	1926
  	The Mummy's Hand 	Cabanne, Christy 	1940
  	The Thing 	Nyby, Christian 	1951
9/24/59 	What Happened to Mary? Episode 4: The Affair at Raynor's 	  	1912
  	His Marriage Wow 	Lord, Del 	1924
